Timestamp,Voltage (V)
16:53:36,0.97
16:53:37,0.74
16:53:38,0.98
16:53:39,0.97
16:53:40,0.85
16:53:41,0.95
16:53:42,1.02
16:53:43,1.00
16:53:44,0.94
16:53:45,0.27
16:53:46,1.09
16:53:47,0.77
16:53:48,0.98
16:53:49,0.87
16:53:50,0.98
16:53:51,0.80
16:53:52,3.62
16:53:53,5.00
16:53:54,0.91
16:53:55,0.49
16:53:56,1.10
16:53:57,0.71
16:53:58,0.77
16:53:59,5.00
16:54:00,5.00
16:54:01,5.00
16:54:02,1.08
16:54:03,5.00
16:54:04,0.20
16:54:05,1.07
16:54:06,2.35
16:54:07,1.06
16:54:08,0.97
16:54:09,0.99
16:54:10,0.90
16:54:11,0.94
16:54:12,1.05
16:54:13,1.10
16:54:14,0.98
16:54:15,1.08
16:54:16,5.00
16:54:17,1.08
16:54:18,1.07
16:54:19,0.93
16:54:20,5.00
16:54:21,5.00
16:54:22,1.07
16:54:23,0.56
16:54:24,0.60
16:54:25,1.01
16:54:26,1.01
16:54:27,0.73
16:54:28,0.86
16:54:29,0.83
16:54:30,1.95
16:54:31,0.96
16:54:32,1.06
16:54:33,0.97
16:54:34,0.95
16:54:35,1.02
16:54:36,0.83
16:54:37,1.00
16:54:38,0.97
16:54:39,1.08
16:54:40,5.00
16:54:41,1.08
16:54:42,5.00
16:54:43,0.27
16:54:44,0.06
16:54:45,0.13
16:54:46,0.03
16:54:47,1.08
16:54:48,0.81
16:54:49,1.00
16:54:50,0.79
16:54:51,0.45
16:54:52,1.06
16:54:53,1.00
16:54:54,5.00
16:54:55,0.08
16:54:56,0.89
16:54:57,0.81
16:54:58,5.00
16:54:59,1.09
16:55:00,1.04
16:55:01,1.03
16:55:02,0.94
16:55:03,5.00
16:55:04,0.94
16:55:05,0.95
16:55:06,0.96
16:55:07,0.95
16:55:08,0.03
16:55:09,5.00
16:55:10,0.88
16:55:11,1.18
16:55:12,5.00
16:55:13,1.06
16:55:14,1.06
16:55:15,1.00
16:55:16,5.00
16:55:17,0.18
16:55:18,5.00
16:55:19,0.20
16:55:20,0.45
16:55:21,1.05
16:55:22,1.04
16:55:23,1.08
16:55:24,5.00
16:55:25,3.03
16:55:26,0.55
16:55:27,0.41
16:55:28,5.00
16:55:29,5.00
16:55:30,1.07
16:55:31,5.00
16:55:32,0.66
16:55:33,1.05
16:55:34,0.11
16:55:35,1.06
16:55:36,0.30
16:55:37,1.08
16:55:38,5.00
16:55:39,0.40
16:55:40,0.67
16:55:41,0.14
16:55:42,0.61
16:55:43,1.03
16:55:44,1.05
16:55:45,5.00
16:55:46,5.00
16:55:47,0.97
16:55:48,0.88
16:55:49,0.90
16:55:50,5.00
16:55:51,1.03
16:55:52,0.95
16:55:53,0.88
16:55:54,1.04
16:55:55,5.00
16:55:56,0.75
16:55:57,5.00
16:55:58,5.00
16:55:59,5.00
16:56:00,5.00
16:56:01,1.09
16:56:02,1.08
16:56:03,0.40
16:56:04,5.00
16:56:05,0.56
16:56:06,0.93
16:56:07,5.00
16:56:08,0.35
16:56:09,1.09
16:56:10,1.04
16:56:11,1.02
16:56:12,1.08
16:56:13,5.00
16:56:14,5.00
16:56:15,1.09
16:56:16,5.00
16:56:17,5.00
16:56:18,0.97
16:56:19,1.08
16:56:20,5.00
16:56:21,5.00
16:56:22,0.36
16:56:23,0.85
16:56:24,5.00
16:56:25,5.00
16:56:26,0.56
16:56:27,5.00
16:56:28,0.43
16:56:29,0.97
16:56:30,5.00
16:56:31,0.90
16:56:32,1.05
16:56:33,0.94
16:56:34,1.06
16:56:35,1.05
16:56:36,1.07
16:56:37,5.00
16:56:38,1.06
16:56:39,0.91
16:56:40,0.60
16:56:41,5.00
16:56:42,1.00
16:56:43,5.00
16:56:44,1.04
16:56:45,0.03
16:56:46,0.06
16:56:47,0.06
